Breed,Gender,Age_time_of_death,Height,Weight,Likes,Skills
Cocker Spaniel,Male,12.1,15.19,28.99,likes_everybody,no_special_skills
Bloodhound,Female,10.5,26.35,93.5,likes_dogs_better_than_people,barks_like_hell
Cocker Spaniel,Female,12.5,15.12,21.97,likes_everybody,no_special_skills
Giant Schnauzer,Male,13.6,26.52,72.28,likes_dogs_better_than_people,high_trainability
American Bulldog,Male,11.6,20.43,91.41,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.2,22.59,54.68,likes_nobody,no_special_skills
French Bulldog,Male,11.3,12.2,22.29,likes_people_better_than_dogs,no_special_skills
Siberian Husky,Female,13.1,22.69,44.01,likes_everybody,barks_like_hell
Boston Terrier,Female,11.7,15.83,21.07,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,11.1,25.54,88.18,likes_dogs_better_than_people,barks_like_hell
Great Dane,Male,8.6,30.68,160.14,likes_dogs_better_than_people,no_special_skills
Pug,Female,14.4,11.11,17.45,likes_people_better_than_dogs,no_special_skills
Boxer,Male,11.0,23.97,72.72,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Male,11.2,23.5,69.63,likes_everybody,high_trainability
Barbet,Female,13.1,21.18,49.24,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,11.1,26.16,77.43,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,10.5,26.27,93.03,likes_dogs_better_than_people,barks_like_hell
French Bulldog,Male,10.9,12.12,23.65,likes_people_better_than_dogs,no_special_skills
Cane Corso,Female,9.1,26.04,94.46,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Male,11.5,23.6,70.19,likes_everybody,high_trainability
Pug,Male,14.0,11.46,17.05,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,14.6,8.63,19.37,likes_dogs_better_than_people,barks_like_hell
American Bulldog,Female,11.4,22.12,66.23,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,14.0,8.63,24.84,likes_dogs_better_than_people,barks_like_hell
Giant Schnauzer,Female,14.2,26.71,66.39,likes_dogs_better_than_people,high_trainability
Siberian Husky,Male,12.7,21.9,55.65,likes_everybody,barks_like_hell
Rottweiler,Female,9.7,25.7,91.82,likes_dogs_better_than_people,high_trainability
Rottweiler,Female,9.6,24.85,87.08,likes_dogs_better_than_people,high_trainability
American Bulldog,Female,10.9,23.13,68.1,likes_dogs_better_than_people,no_special_skills
Great Dane,Female,8.4,31.01,132.07,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.8,21.56,53.75,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.9,21.65,51.25,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,11.2,25.31,101.06,likes_dogs_better_than_people,barks_like_hell
Barbet,Male,13.0,22.27,40.68,likes_dogs_better_than_people,no_special_skills
Pug,Female,13.2,11.59,15.67,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Female,13.6,26.46,65.3,likes_dogs_better_than_people,high_trainability
Great Dane,Female,7.8,30.61,119.43,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,15.2,6.21,5.59,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Female,12.4,12.75,44.83,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.0,21.65,51.07,likes_people_better_than_dogs,high_trainability
Basset Hound,Male,12.5,13.88,49.14,likes_dogs_better_than_people,no_special_skills
Greyhound,Female,11.6,29.0,62.98,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,12.7,23.91,57.66,likes_nobody,no_special_skills
Cane Corso,Male,10.7,26.52,105.77,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Male,10.7,26.14,85.0,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Female,14.6,24.88,43.92,likes_dogs_better_than_people,high_trainability
Pug,Female,13.8,11.24,16.72,likes_people_better_than_dogs,no_special_skills
Bloodhound,Male,10.9,25.87,102.25,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Female,12.1,12.28,56.95,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,11.2,25.6,85.69,likes_dogs_better_than_people,no_special_skills
Pug,Female,13.6,12.35,16.08,likes_people_better_than_dogs,no_special_skills
Boxer,Female,11.2,23.67,59.03,likes_people_better_than_dogs,no_special_skills
Chihuahua,Female,14.4,6.56,4.55,likes_dogs_better_than_people,barks_like_hell
Beagle,Male,12.7,14.97,16.45,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.2,26.65,70.0,likes_people_better_than_dogs,no_special_skills
Plott Hound,Male,13.4,23.78,55.29,likes_nobody,no_special_skills
French Bulldog,Female,10.8,12.09,22.34,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,14.8,8.49,21.76,likes_dogs_better_than_people,barks_like_hell
Dachshund,Male,14.7,8.3,26.14,likes_dogs_better_than_people,barks_like_hell
Rottweiler,Male,9.6,25.49,102.79,likes_dogs_better_than_people,high_trainability
Bloodhound,Female,10.4,26.07,83.25,likes_dogs_better_than_people,barks_like_hell
Pug,Female,14.3,11.72,16.09,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,15.0,8.7,26.95,likes_dogs_better_than_people,barks_like_hell
Plott Hound,Female,12.7,23.43,45.15,likes_nobody,no_special_skills
Boston Terrier,Male,11.6,15.14,18.24,likes_people_better_than_dogs,no_special_skills
Tibetan Mastiff,Male,11.5,28.55,131.35,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,11.4,26.38,92.33,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,11.3,26.67,68.5,likes_people_better_than_dogs,high_trainability
Pug,Female,14.5,11.19,14.87,likes_people_better_than_dogs,no_special_skills
Barbet,Female,13.4,21.92,54.07,likes_dogs_better_than_people,no_special_skills
Cane Corso,Male,10.6,25.78,104.05,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.7,22.1,73.79,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,13.7,20.84,48.68,likes_people_better_than_dogs,high_trainability
Dachshund,Male,12.8,8.35,24.03,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Male,9.8,25.9,102.76,likes_dogs_better_than_people,no_special_skills
Greyhound,Male,11.0,29.11,67.94,likes_dogs_better_than_people,no_special_skills
Greyhound,Male,11.2,29.15,67.43,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,13.9,8.53,23.12,likes_dogs_better_than_people,barks_like_hell
Australian Shepherd,Female,14.1,21.26,46.55,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Female,11.4,14.86,22.93,likes_everybody,no_special_skills
Beagle,Female,12.5,14.16,26.03,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,12.8,22.77,51.25,likes_nobody,no_special_skills
Bloodhound,Female,10.9,26.34,87.0,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Male,10.8,26.73,83.65,likes_people_better_than_dogs,high_trainability
Greyhound,Female,11.6,28.55,62.33,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.5,26.64,83.61,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,10.8,27.91,128.38,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.1,27.3,84.34,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Female,13.9,26.38,66.62,likes_dogs_better_than_people,high_trainability
Giant Schnauzer,Female,12.6,26.77,63.88,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Female,13.6,20.95,47.78,likes_people_better_than_dogs,high_trainability
Basset Hound,Female,12.6,12.69,56.51,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.2,15.86,20.28,likes_people_better_than_dogs,no_special_skills
Boxer,Male,10.7,23.92,67.87,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Male,11.1,22.87,71.8,likes_everybody,high_trainability
Cocker Spaniel,Male,12.4,14.78,28.03,likes_everybody,no_special_skills
Rottweiler,Male,9.3,26.49,118.97,likes_dogs_better_than_people,high_trainability
French Bulldog,Male,11.0,11.6,24.68,likes_people_better_than_dogs,no_special_skills
Beagle,Male,12.1,15.4,17.93,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Male,13.4,21.94,47.27,likes_everybody,barks_like_hell
Pug,Female,13.7,11.64,15.55,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,10.9,25.5,70.0,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,12.8,26.32,69.15,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,12.2,15.47,18.71,likes_people_better_than_dogs,no_special_skills
Labrador Retriever,Male,11.0,23.07,74.6,likes_everybody,high_trainability
Belgian Malinois,Male,15.2,24.96,73.73,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Female,11.0,25.75,97.78,likes_dogs_better_than_people,no_special_skills
Chihuahua,Female,14.9,6.24,5.07,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Female,10.5,26.6,93.44,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.3,16.4,21.85,likes_people_better_than_dogs,no_special_skills
Pug,Male,14.3,10.39,16.55,likes_people_better_than_dogs,no_special_skills
Beagle,Female,11.6,14.17,24.66,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,14.2,8.59,24.85,likes_dogs_better_than_people,barks_like_hell
Belgian Malinois,Male,15.6,24.92,68.19,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Female,10.9,25.05,103.26,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.9,21.34,52.22,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.1,31.16,151.04,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,14.8,6.55,5.75,likes_dogs_better_than_people,barks_like_hell
Australian Shepherd,Male,13.2,22.11,62.03,likes_people_better_than_dogs,high_trainability
Golden Retriever,Male,10.9,23.47,68.53,likes_everybody,high_trainability
Barbet,Male,13.0,21.19,52.58,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,14.2,8.64,27.01,likes_dogs_better_than_people,barks_like_hell
French Bulldog,Male,11.3,12.08,24.13,likes_people_better_than_dogs,no_special_skills
American Bulldog,Male,10.9,23.3,93.07,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.6,26.22,116.22,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,12.1,16.03,19.96,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,10.9,25.89,70.0,likes_people_better_than_dogs,no_special_skills
Dachshund,Male,13.4,8.49,20.24,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Male,11.5,26.94,90.27,likes_people_better_than_dogs,high_trainability
Boxer,Male,11.1,23.65,67.95,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Female,15.0,24.96,53.64,likes_dogs_better_than_people,high_trainability
Border Collie,Female,15.3,20.75,38.93,likes_people_better_than_dogs,high_trainability
Barbet,Male,13.0,21.52,43.37,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.7,31.37,154.27,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,10.7,26.23,96.73,likes_dogs_better_than_people,barks_like_hell
Labrador Retriever,Male,10.5,23.45,76.56,likes_everybody,high_trainability
Border Collie,Male,14.4,20.32,41.25,likes_people_better_than_dogs,high_trainability
Basset Hound,Female,12.7,12.8,48.82,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,14.8,6.66,5.2,likes_dogs_better_than_people,barks_like_hell
Border Collie,Female,13.3,21.14,46.32,likes_people_better_than_dogs,high_trainability
Border Collie,Male,13.9,20.26,44.53,likes_people_better_than_dogs,high_trainability
Rhodesian Ridgeback,Male,11.1,25.81,85.0,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Female,10.8,25.88,70.0,likes_people_better_than_dogs,no_special_skills
Cocker Spaniel,Male,11.6,14.91,26.94,likes_everybody,no_special_skills
Doberman Pinscher,Male,11.0,26.93,93.73,likes_people_better_than_dogs,high_trainability
Great Dane,Male,7.4,31.08,163.84,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Male,11.3,25.82,85.0,likes_people_better_than_dogs,no_special_skills
Cane Corso,Male,9.7,26.02,102.98,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Male,11.4,23.32,69.7,likes_everybody,high_trainability
Cocker Spaniel,Female,11.9,15.06,23.09,likes_everybody,no_special_skills
Rottweiler,Male,9.6,25.31,114.0,likes_dogs_better_than_people,high_trainability
Rhodesian Ridgeback,Male,11.7,25.87,85.0,likes_people_better_than_dogs,no_special_skills
Great Dane,Male,9.4,30.3,159.17,likes_dogs_better_than_people,no_special_skills
Boxer,Female,11.5,23.92,57.11,likes_people_better_than_dogs,no_special_skills
Chihuahua,Female,14.7,6.97,4.43,likes_dogs_better_than_people,barks_like_hell
Tibetan Mastiff,Female,11.2,27.18,104.52,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.8,24.71,108.76,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Male,11.5,27.39,125.21,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.8,25.32,128.34,likes_dogs_better_than_people,high_trainability
Plott Hound,Male,13.1,21.32,54.4,likes_nobody,no_special_skills
Australian Shepherd,Male,12.4,21.08,57.7,likes_people_better_than_dogs,high_trainability
Basset Hound,Male,12.6,13.13,55.06,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,14.0,22.02,41.88,likes_people_better_than_dogs,high_trainability
American Bulldog,Female,11.3,22.26,64.92,likes_dogs_better_than_people,no_special_skills
American Bulldog,Male,11.3,22.98,89.23,likes_dogs_better_than_people,no_special_skills
Basset Hound,Male,12.5,14.1,58.94,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.5,22.65,56.79,likes_dogs_better_than_people,no_special_skills
Belgian Malinois,Male,15.6,25.36,68.4,likes_dogs_better_than_people,high_trainability
Plott Hound,Female,13.0,22.13,46.03,likes_nobody,no_special_skills
Boxer,Female,11.1,24.14,63.31,likes_people_better_than_dogs,no_special_skills
Plott Hound,Male,12.7,23.78,55.7,likes_nobody,no_special_skills
Dachshund,Female,13.5,8.45,24.5,likes_dogs_better_than_people,barks_like_hell
Bloodhound,Male,10.5,26.88,95.26,likes_dogs_better_than_people,barks_like_hell
Great Dane,Male,8.0,29.98,159.8,likes_dogs_better_than_people,no_special_skills
Labrador Retriever,Female,11.1,22.91,64.04,likes_everybody,high_trainability
Australian Shepherd,Female,13.0,21.87,46.73,likes_people_better_than_dogs,high_trainability
Siberian Husky,Female,12.7,21.75,43.37,likes_everybody,barks_like_hell
Boxer,Male,11.3,24.05,78.01,likes_people_better_than_dogs,no_special_skills
Pug,Male,13.8,12.37,16.2,likes_people_better_than_dogs,no_special_skills
Barbet,Female,12.7,21.57,56.23,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.3,21.71,57.69,likes_people_better_than_dogs,high_trainability
Cane Corso,Female,10.2,26.75,95.14,likes_dogs_better_than_people,no_special_skills
Border Collie,Male,12.9,20.77,41.04,likes_people_better_than_dogs,high_trainability
Border Collie,Female,13.1,20.56,41.7,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,11.5,28.33,109.64,likes_dogs_better_than_people,no_special_skills
Boxer,Male,11.1,24.28,69.76,likes_people_better_than_dogs,no_special_skills
Chihuahua,Female,15.5,6.26,4.8,likes_dogs_better_than_people,barks_like_hell
Siberian Husky,Female,12.5,22.36,43.74,likes_everybody,barks_like_hell
Doberman Pinscher,Female,10.7,26.74,70.34,likes_people_better_than_dogs,high_trainability
Doberman Pinscher,Male,10.8,27.01,90.99,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,10.9,27.2,113.64,likes_dogs_better_than_people,no_special_skills
Greyhound,Female,12.1,29.55,64.38,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,10.3,12.32,22.87,likes_people_better_than_dogs,no_special_skills
Bloodhound,Male,10.9,26.13,101.66,likes_dogs_better_than_people,barks_like_hell
Labrador Retriever,Female,11.2,23.71,61.9,likes_everybody,high_trainability
Great Dane,Female,9.1,31.58,130.7,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,10.9,27.12,72.34,likes_people_better_than_dogs,high_trainability
Golden Retriever,Female,10.7,23.67,58.58,likes_everybody,high_trainability
Greyhound,Female,11.1,29.19,61.64,likes_dogs_better_than_people,no_special_skills
Boxer,Male,10.9,24.03,75.79,likes_people_better_than_dogs,no_special_skills
American Bulldog,Female,10.5,22.25,74.07,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,11.2,23.64,60.24,likes_everybody,high_trainability
Tibetan Mastiff,Female,11.2,26.18,88.07,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Male,11.9,26.85,71.1,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Male,11.2,28.71,122.55,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.0,15.97,19.77,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Female,11.0,23.32,60.29,likes_everybody,high_trainability
French Bulldog,Male,10.6,12.7,24.1,likes_people_better_than_dogs,no_special_skills
Plott Hound,Male,13.1,21.45,54.09,likes_nobody,no_special_skills
Cane Corso,Female,10.3,25.62,93.59,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,14.6,8.41,21.44,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Female,10.7,25.95,94.89,likes_dogs_better_than_people,no_special_skills
Great Dane,Female,9.6,31.12,125.08,likes_dogs_better_than_people,no_special_skills
Barbet,Male,12.9,21.24,57.69,likes_dogs_better_than_people,no_special_skills
Rottweiler,Male,9.6,25.28,115.73,likes_dogs_better_than_people,high_trainability
Belgian Malinois,Male,15.0,25.1,70.31,likes_dogs_better_than_people,high_trainability
Pug,Female,13.7,11.13,15.63,likes_people_better_than_dogs,no_special_skills
Tibetan Mastiff,Female,11.3,24.71,101.49,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,9.7,31.42,155.72,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.0,27.29,81.94,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,14.1,21.02,60.77,likes_people_better_than_dogs,high_trainability
Great Dane,Female,8.3,30.65,117.87,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.0,22.71,54.76,likes_nobody,no_special_skills
Bloodhound,Female,10.9,25.39,86.49,likes_dogs_better_than_people,barks_like_hell
Dachshund,Male,14.4,8.33,18.28,likes_dogs_better_than_people,barks_like_hell
Rottweiler,Female,9.5,25.72,85.7,likes_dogs_better_than_people,high_trainability
Basset Hound,Male,12.6,13.5,48.58,likes_dogs_better_than_people,no_special_skills
Pug,Male,13.8,11.44,15.76,likes_people_better_than_dogs,no_special_skills
Cane Corso,Female,10.7,25.33,95.82,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,12.4,15.05,23.22,likes_everybody,no_special_skills
Chihuahua,Female,15.1,5.68,4.82,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Female,10.6,27.31,76.62,likes_people_better_than_dogs,high_trainability
Greyhound,Female,11.3,28.93,62.86,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,11.4,23.69,59.14,likes_everybody,high_trainability
Basset Hound,Female,12.4,12.65,46.25,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.6,21.73,67.81,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,13.3,22.97,45.21,likes_nobody,no_special_skills
Chihuahua,Female,14.6,5.49,4.67,likes_dogs_better_than_people,barks_like_hell
Dachshund,Male,13.9,8.29,26.37,likes_dogs_better_than_people,barks_like_hell
Rottweiler,Female,9.7,24.92,86.77,likes_dogs_better_than_people,high_trainability
Greyhound,Male,11.4,28.25,68.05,likes_dogs_better_than_people,no_special_skills
Cane Corso,Male,9.7,26.63,102.99,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Female,13.7,26.91,63.95,likes_dogs_better_than_people,high_trainability
Rottweiler,Female,9.3,24.77,85.98,likes_dogs_better_than_people,high_trainability
Belgian Malinois,Female,15.1,24.88,52.47,likes_dogs_better_than_people,high_trainability
Border Collie,Male,13.3,21.08,42.98,likes_people_better_than_dogs,high_trainability
Belgian Malinois,Male,14.6,24.81,68.47,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Male,13.4,21.03,54.27,likes_people_better_than_dogs,high_trainability
Giant Schnauzer,Male,13.4,25.83,76.01,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,11.7,15.91,20.75,likes_people_better_than_dogs,no_special_skills
Australian Shepherd,Male,14.4,21.74,55.68,likes_people_better_than_dogs,high_trainability
Plott Hound,Female,12.8,21.24,47.15,likes_nobody,no_special_skills
Great Dane,Male,8.5,30.86,166.74,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Male,13.2,21.97,62.99,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,10.0,26.57,94.77,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.4,26.41,70.0,likes_people_better_than_dogs,no_special_skills
Rhodesian Ridgeback,Male,11.4,26.59,85.0,likes_people_better_than_dogs,no_special_skills
Dachshund,Female,13.4,8.64,18.27,likes_dogs_better_than_people,barks_like_hell
Chihuahua,Male,15.2,7.43,5.08,likes_dogs_better_than_people,barks_like_hell
Bloodhound,Male,11.5,26.23,100.67,likes_dogs_better_than_people,barks_like_hell
Tibetan Mastiff,Female,11.5,25.69,88.23,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,13.5,19.59,43.3,likes_people_better_than_dogs,high_trainability
Doberman Pinscher,Male,10.1,27.14,97.01,likes_people_better_than_dogs,high_trainability
French Bulldog,Female,11.1,12.75,21.29,likes_people_better_than_dogs,no_special_skills
Cocker Spaniel,Female,11.1,14.88,22.11,likes_everybody,no_special_skills
Australian Shepherd,Female,14.1,21.5,46.8,likes_people_better_than_dogs,high_trainability
American Bulldog,Female,11.0,21.97,67.93,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,10.9,22.16,71.7,likes_dogs_better_than_people,no_special_skills
Bloodhound,Male,11.1,26.28,98.79,likes_dogs_better_than_people,barks_like_hell
Labrador Retriever,Male,11.3,23.39,71.13,likes_everybody,high_trainability
Tibetan Mastiff,Female,11.3,26.45,95.49,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Male,11.3,27.15,86.97,likes_people_better_than_dogs,high_trainability
Border Collie,Female,13.9,20.03,42.13,likes_people_better_than_dogs,high_trainability
Rhodesian Ridgeback,Female,11.3,26.42,70.0,likes_people_better_than_dogs,no_special_skills
Barbet,Female,12.6,23.15,43.92,likes_dogs_better_than_people,no_special_skills
American Bulldog,Female,11.1,21.61,70.91,likes_dogs_better_than_people,no_special_skills
Cane Corso,Female,11.2,26.58,96.34,likes_dogs_better_than_people,no_special_skills
Beagle,Female,12.0,14.38,23.77,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Male,10.8,26.34,85.0,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,14.5,26.25,77.68,likes_dogs_better_than_people,high_trainability
French Bulldog,Male,10.8,12.23,24.69,likes_people_better_than_dogs,no_special_skills
Rottweiler,Female,9.3,25.9,93.16,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,11.5,16.09,14.07,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Female,13.4,26.69,71.35,likes_dogs_better_than_people,high_trainability
Belgian Malinois,Female,14.9,25.55,56.7,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Male,10.7,27.91,129.96,likes_dogs_better_than_people,no_special_skills
Cane Corso,Female,10.3,25.86,92.56,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,11.8,15.14,21.43,likes_everybody,no_special_skills
Golden Retriever,Female,10.9,23.45,62.72,likes_everybody,high_trainability
Great Dane,Male,8.7,30.73,151.08,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,11.2,14.78,22.32,likes_everybody,no_special_skills
Basset Hound,Female,12.4,12.25,50.64,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,11.1,25.35,89.29,likes_dogs_better_than_people,barks_like_hell
Greyhound,Male,11.2,29.26,67.11,likes_dogs_better_than_people,no_special_skills
Great Dane,Male,8.6,31.04,144.84,likes_dogs_better_than_people,no_special_skills
Tibetan Mastiff,Female,10.6,25.83,91.55,likes_dogs_better_than_people,no_special_skills
Barbet,Female,12.9,21.91,51.16,likes_dogs_better_than_people,no_special_skills
Golden Retriever,Female,11.3,23.47,61.57,likes_everybody,high_trainability
Cane Corso,Female,10.8,26.3,87.48,likes_dogs_better_than_people,no_special_skills
Plott Hound,Female,12.9,22.07,45.18,likes_nobody,no_special_skills
Border Collie,Female,13.5,20.12,44.66,likes_people_better_than_dogs,high_trainability
Beagle,Female,12.3,13.44,25.18,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.0,21.48,56.02,likes_nobody,no_special_skills
Siberian Husky,Male,12.8,22.21,53.04,likes_everybody,barks_like_hell
Beagle,Male,12.5,14.93,18.37,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Male,13.3,26.68,75.55,likes_dogs_better_than_people,high_trainability
Plott Hound,Female,12.8,21.57,46.4,likes_nobody,no_special_skills
Pug,Female,14.1,11.46,17.34,likes_people_better_than_dogs,no_special_skills
Bloodhound,Male,11.5,25.9,104.67,likes_dogs_better_than_people,barks_like_hell
Border Collie,Female,13.4,20.05,51.17,likes_people_better_than_dogs,high_trainability
Rottweiler,Female,9.9,25.72,91.66,likes_dogs_better_than_people,high_trainability
Rottweiler,Male,9.7,26.03,114.74,likes_dogs_better_than_people,high_trainability
Dachshund,Female,14.4,8.49,26.58,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Female,10.8,26.91,75.17,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Female,13.9,21.36,47.21,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,11.4,26.72,93.51,likes_dogs_better_than_people,no_special_skills
Doberman Pinscher,Female,10.8,26.63,73.61,likes_people_better_than_dogs,high_trainability
Boxer,Male,10.4,24.55,76.35,likes_people_better_than_dogs,no_special_skills
Doberman Pinscher,Male,10.7,27.3,86.08,likes_people_better_than_dogs,high_trainability
Greyhound,Male,11.8,28.89,68.58,likes_dogs_better_than_people,no_special_skills
Beagle,Male,14.3,15.35,17.43,likes_dogs_better_than_people,no_special_skills
Labrador Retriever,Female,11.3,23.99,58.33,likes_everybody,high_trainability
French Bulldog,Male,11.0,12.3,24.6,likes_people_better_than_dogs,no_special_skills
Pug,Male,13.8,11.35,15.2,likes_people_better_than_dogs,no_special_skills
Belgian Malinois,Female,14.7,25.21,50.2,likes_dogs_better_than_people,high_trainability
Great Dane,Male,7.8,30.63,154.61,likes_dogs_better_than_people,no_special_skills
Border Collie,Female,12.5,21.45,42.31,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,13.7,21.56,56.39,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,10.8,27.14,122.5,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,14.7,8.35,25.04,likes_dogs_better_than_people,barks_like_hell
Tibetan Mastiff,Male,10.3,27.45,127.96,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.2,15.82,18.97,likes_people_better_than_dogs,no_special_skills
Doberman Pinscher,Female,10.8,27.44,69.83,likes_people_better_than_dogs,high_trainability
Barbet,Female,13.3,20.96,45.67,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,11.7,14.83,22.86,likes_everybody,no_special_skills
